temp,vTAS#73_A,vTAS73_A,DUNSAN_NEW,7,NC,3,NC-3,26,60.50.62.20
temp,vTAS#74_A_HOST,vTAS74-A,DUNSAN_NEW,7,NC,3,NC-3,32,60.13.126.11
temp,vTAS#74_A_HOST,vTAS74-A,DUNSAN_NEW,7,NC,3,NC-3,37,60.13.126.11
temp,vTAS#71_S,vTAS71_S,DUNSAN_NEW,7,NC,4,NC-4,11,60.50.62.13
temp,vTAS#72_S,vTAS72_S,DUNSAN_NEW,7,NC,4,NC-4,17,60.50.62.16
temp,vTAS#73_S,vTAS73_S,DUNSAN_NEW,7,NC,4,NC-4,26,60.50.62.21
temp,VTAS74_A,temp41,DUNSAN_NEW,7,NC,4,NC-4,32,1.1.1.83
temp,VTAS77_A,temp42,DUNSAN_NEW,7,NC,4,NC-4,37,1.1.1.84
temp,VTAS86-BK,VTAS86-BK,DUNSAN_NEW,7,NC,5,NC-5,17,1.1.1.85
temp,TEMP5,VTAS84-BK,DUNSAN_NEW,7,NC,5,NC-5,26,1.1.1.86
temp,TEMP3,VTAS82-BK,DUNSAN_NEW,7,NC,5,NC-5,32,1.1.1.87
temp,VTAS87-BK,VTAS87-BK,DUNSAN_NEW,7,NC,6,NC-6,11,1.1.1.88
temp,vTAS#85BK_HOST,vTAS85-BK,DUNSAN_NEW,7,NC,6,NC-6,17,60.13.126.20
temp,TEMP4,VTAS83-BK,DUNSAN_NEW,7,NC,6,NC-6,26,1.1.1.89
temp,TEMP2,VTAS81-BK,DUNSAN_NEW,7,NC,6,NC-6,32,1.1.1.90
temp,TEMP6,伙己 OSC#2,DUNSAN_NEW,7,NC,8,NC-8,15,1.1.1.91
temp,TEMP1,vMSS66_3,DUNSAN_NEW,7,NC,8,NC-8,19,1.1.1.92
temp,CN_EMS#03,daegu_wcgs_ems1,DUNSAN_NEW,7,NC,8,NC-8,27,60.30.27.23
temp,vMSS#65_01,vmss65-1,DUNSAN_NEW,7,NC,9,NC-9,11,60.50.53.46
temp,vMSS#65_02,vmss65-2,DUNSAN_NEW,7,NC,9,NC-9,15,60.50.53.47
temp,vMSS#65_03,vmss65-3,DUNSAN_NEW,7,NC,9,NC-9,19,60.50.53.48
temp,vMSS#65_04,vmss65-4,DUNSAN_NEW,7,NC,9,NC-9,23,60.50.53.49
temp,vMSS#65_05,vmss65-5,DUNSAN_NEW,7,NC,9,NC-9,27,60.50.53.50
temp,vMSS#64_01,vmss64-1,DUNSAN_NEW,7,NC,10,NC-10,11,60.50.53.41
temp,vMSS#64_02,vmss64-2,DUNSAN_NEW,7,NC,10,NC-10,15,60.50.53.42
temp,vMSS#64_03,vmss64-3,DUNSAN_NEW,7,NC,10,NC-10,19,60.50.53.43
temp,vMSS#64_04,vmss64-4,DUNSAN_NEW,7,NC,10,NC-10,23,60.50.53.44
temp,vMSS#64_05,vmss64-5,DUNSAN_NEW,7,NC,10,NC-10,27,60.50.53.45
temp,IBCF#56,temp43,DUNSAN_NEW,7,ND,3,ND-3,7,1.1.1.93
temp,IBCF#56_OMP,IBC56-OMP,DUNSAN_NEW,7,ND,3,ND-3,36,60.50.61.131
temp,vIBCF61_HOST8,DS_vIBCF61-HOST8,DUNSAN_NEW,7,ND,4,ND-4,14,60.13.115.18
temp,vIBCF61_HOST7,DS_vIBCF61-HOST7,DUNSAN_NEW,7,ND,4,ND-4,16,60.13.115.17
temp,vIBCF61_HOST6,DS_vIBCF61-HOST6,DUNSAN_NEW,7,ND,4,ND-4,18,60.13.115.16
